,number,smiles,mapped_smiles,component_name,n_conformers
102,103,O=[N+]([O-])c1cccc(O)c1,[H:12][c:6]1[c:5]([c:4]([c:10]([c:8]([c:7]1[H:13])[O:9][H:14])[H:15])[N+:2](=[O:1])[O-:3])[H:11],component-103,2
103,104,CN(C)CCOC(c1ccccc1)c1ccccc1,[H:33][c:11]1[c:10]([c:9]([c:8]([c:13]([c:12]1[H:34])[H:35])[C:7]([H:30])([c:14]2[c:15]([c:16]([c:17]([c:18]([c:19]2[H:40])[H:39])[H:38])[H:37])[H:36])[O:6][C:5]([H:28])([H:29])[C:4]([H:26])([H:27])[N:2]([C:1]([H:20])([H:21])[H:22])[C:3]([H:23])([H:24])[H:25])[H:31])[H:32],component-104,8
104,105,Cc1cccc(Nc2ccccc2C(=O)O)c1C,[H:28][c:11]1[c:10]([c:9]([c:8]([c:13]([c:12]1[H:29])[C:14](=[O:15])[O:16][H:30])[N:7]([H:25])[c:6]2[c:5]([c:4]([c:3]([c:2]([c:17]2[C:18]([H:31])([H:32])[H:33])[C:1]([H:19])([H:20])[H:21])[H:22])[H:23])[H:24])[H:26])[H:27],component-105,3
105,106,O=c1[nH]c(=O)[nH]c(=O)[nH]1,[H:10][N:3]1[C:4](=[O:5])[N:6]([C:7](=[O:8])[N:9]([C:2]1=[O:1])[H:12])[H:11],component-106,1
106,107,O=[N+]([O-])OCCO[N+](=O)[O-],[H:11][C:5]([H:12])([C:6]([H:13])([H:14])[O:7][N+:8](=[O:9])[O-:10])[O:4][N+:2](=[O:1])[O-:3],component-107,3
107,108,O=[N+]([O-])OCCCO[N+](=O)[O-],[H:14][C:6]([H:15])([C:5]([H:12])([H:13])[O:4][N+:2](=[O:1])[O-:3])[C:7]([H:16])([H:17])[O:8][N+:9](=[O:10])[O-:11],component-108,3
108,109,COC(=O)c1ccc([N+](=O)[O-])cc1,[H:17][c:6]1[c:7]([c:8]([c:12]([c:13]([c:5]1[C:3](=[O:4])[O:2][C:1]([H:14])([H:15])[H:16])[H:20])[H:19])[N+:9](=[O:10])[O-:11])[H:18],component-109,3
109,110,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,[H:26][c:13]1[c:14]([c:15]([c:16]2[c:11]([c:12]1[H:25])[C:9](=[O:10])[c:8]3[c:7]([c:5]([c:4]([c:3]([c:2]3[N:1]([H:19])[H:20])[H:21])[H:22])[N:6]([H:23])[H:24])[C:17]2=[O:18])[H:28])[H:27],component-110,1
110,111,C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,[H:21][C:7]1=[C:8]([C@@:10]([C:13]([C@:4]([C:6]1([H:19])[H:20])([H:5])[C:2](=[C:1]([H:14])[H:15])[C:3]([H:16])([H:17])[H:18])([H:26])[H:27])([H:11])[O:12][H:25])[C:9]([H:22])([H:23])[H:24],component-111,1
111,112,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,[H:5][C@@:4]1([C@:12]([C:11]([C@:8]([C:7]([C:6]1([H:22])[H:23])([H:24])[H:25])([H:9])[C:10]([H:26])([H:27])[H:28])([H:29])[H:30])([H:13])[O:14][H:31])[C:2]([H:18])([C:1]([H:15])([H:16])[H:17])[C:3]([H:19])([H:20])[H:21],component-112,2
112,113,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,[H:30][c:16]1[c:15]([c:8]([c:7]([c:6]2[c:17]1[c:18]([c:3]([c:4]([c:5]2[H:23])[H:22])[O:2][C:1]([H:19])([H:20])[H:21])[H:31])[H:24])[C@@:9]([H:10])([C:12](=[O:13])[O:14][H:28])[C:11]([H:25])([H:26])[H:27])[H:29],component-113,1
113,114,CN(C)C(=O)c1ccc([N+](=O)[O-])cc1,[H:21][c:7]1[c:8]([c:9]([c:13]([c:14]([c:6]1[C:4](=[O:5])[N:2]([C:1]([H:15])([H:16])[H:17])[C:3]([H:18])([H:19])[H:20])[H:24])[H:23])[N+:10](=[O:11])[O-:12])[H:22],component-114,6
114,115,O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,[H:10][C@:9]1([C@@:12]([C@@:2]([O:4][C:5]([C@@:6]1([H:7])[O:8][H:18])([H:16])[H:17])([H:3])[O:1][H:15])([H:13])[O:14][H:20])[O:11][H:19],component-115,1
115,116,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],[H:3][C@:2]([C:1]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[O:5][N+:6](=[O:7])[O-:8])[O:9][N+:10](=[O:11])[O-:12],component-116,4
116,117,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,[H:30][c:17]1[c:16]([c:15]([c:14]([c:19]([c:18]1[H:31])[H:32])[C:12](=[O:13])[c:11]2[c:10]([c:9]([c:8]([c:7]([c:20]2[H:33])[C@@:2]([H:3])([C:4](=[O:5])[O:6][H:24])[C:1]([H:21])([H:22])[H:23])[H:25])[H:26])[H:27])[H:28])[H:29],component-117,3
117,118,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],[H:3][C@:2]([C:1]([H:14])([H:15])[H:16])([C:4]([H:17])([H:18])[C:5]([H:19])([H:20])[O:6][N+:7](=[O:8])[O-:9])[O:10][N+:11](=[O:12])[O-:13],component-118,4
